epoch,loss,val_loss
0,0.8929681379619476,0.8926953403320824
1,0.7979517012557383,0.7925377736155619
2,0.76204207476399,0.8003414996905241
3,0.7173082228971615,0.788785864591421
4,0.6845286507140382,0.7656375895879372
5,0.6598554407296663,0.7437674288531977
6,0.6438439690396119,0.6867154360441171
7,0.6303664200559528,0.7212821450971422
8,0.6133125987145441,0.697897193328812
9,0.5909209854675062,0.6813134613508236
10,0.5920125978982099,0.6851451057365452
11,0.5768293148804643,0.6700887975404081
12,0.5542741187365602,0.6680551093460908
